date,fund,benchmark_return,fund_return,active_return,IWF,IWD,IWO,IWN,TLT,SHY,LQD,EFA,EEM
2021-01-29,MRLIX,0.015080601202501901,-0.024967,-0.0400476012025019,0.17312664882251755,0.15122099332300423,0.17237573097829445,0.15624942731646102,0.0028420207944859985,0.03836173129765056,0.05743631356139131,0.12599544179300437,0.12239169211319055
2021-02-26,MRLIX,0.03078116836177829,0.025606,-0.005175168361778289,0.1753084859314071,0.15319404336847203,0.16992880600223753,0.15333440122105826,0.009770988214742898,0.03774984342967167,0.061805466188337335,0.1252556374498079,0.1136523281942653
2021-03-31,MRLIX,0.016606270567872717,0.046649,0.030042729432127286,0.1734063400231622,0.15277450062786613,0.16873618433653215,0.1534183559351433,0.01080296739950938,0.040501441790550034,0.06268701756330076,0.12485915280524382,0.11281403951869223
2021-04-30,MRLIX,0.029783112653855172,0.054614,0.02483088734614483,0.16772920950638057,0.15587884304823724,0.16274332431994357,0.15867339484849946,0.010257313056415966,0.043289280957062595,0.06267074236116897,0.12645869979096355,0.11229919211132802
2021-05-28,MRLIX,0.008459378441188391,-0.000595,-0.009054378441188391,0.17074306665491626,0.15747791719449702,0.16216540067885507,0.15893279254254114,0.009235364409549446,0.04164424424016391,0.061098886174870595,0.12791059007210237,0.11079173803250426
2021-06-30,MRLIX,0.016359656761551516,0.032758,0.016398343238448486,0.17343691966233618,0.15672234096410279,0.16598802458063525,0.15927444604564384,0.008898162130434775,0.040925371183664176,0.060373820476236226,0.12540940493037922,0.10897151002656753
2021-07-30,MRLIX,-0.009279136663861343,0.043253,0.05253213666386134,0.1749395988233568,0.15614108574914193,0.1671925749591957,0.15887670779338217,0.00953372366257766,0.04043705395485949,0.060391239927578264,0.12451158362705207,0.10797643150285595
2021-08-31,MRLIX,0.026432805102741107,0.025428,-0.0010048051027411083,0.4893658063694493,0.25106778444878775,0.12401833385219793,1.289799090846904e-18,0.0,0.0,0.03224644869697131,0.1033016266325938,0.0
2021-09-30,MRLIX,-0.044982308767061475,-0.055526,-0.010543691232938524,0.48505486549459437,0.251432036670281,0.11921260985361835,2.188793987174791e-17,0.0,5.761447522002203e-18,0.03425066637110683,0.11004982161039947,1.431146867680866e-17
2021-10-29,MRLIX,0.06331718383909635,0.070776,0.0074588161609036585,0.4782936455349807,0.24198847782580823,0.12459493125874609,0.0,1.2364451476548281e-17,0.03663134129400219,0.016227704440539184,0.1022638996459236,0.0
