date,fund,benchmark_return,fund_return,active_return,IWF,IWD,IWO,IWN,TLT,SHY,LQD,EFA,EEM
2021-01-29,LCGFX,0.001809059656274651,-0.03147,-0.033279059656274645,0.4421989602913623,0.14894715247658116,0.20986330597451297,1.55895192667813e-17,0.06784797846969341,0.03557308494600418,0.011358484549011259,0.08421103329283473,6.938893903907228e-18
2021-02-26,LCGFX,0.012005178477836337,0.043162,0.03115682152216366,0.4390588368320443,0.16626231018344287,0.19262317977371662,4.364314454115651e-17,0.08655439120630973,0.004368128672661456,0.030460316355219928,0.08067283697660517,0.0
2021-03-31,LCGFX,0.010243798921585317,0.011158,0.0009142010784146826,0.44438997553523857,0.17976899962559603,0.17818787219282034,7.847479663352618e-18,0.09519509723406928,1.734723475976807e-18,0.022992364850990377,0.07946569056128537,0.0
2021-04-30,LCGFX,0.04506523570726123,0.068506,0.023440764292738767,0.4294631383304079,0.16474465930888094,0.19289621605508922,1.1659497640963828e-17,0.11136106925502537,2.6020852139652106e-18,0.026477307049129706,0.07505761000146687,3.0357658072325333e-18
2021-05-28,LCGFX,-0.003989111800046632,-0.001721,0.002268111800046632,0.42369359176901994,0.1679995302640665,0.17765917273193915,0.0,0.12012549875708774,0.0,0.03068443109272491,0.07983777538516193,0.0
2021-06-30,LCGFX,0.03735963435712017,0.049138,0.011778365642879832,0.4228651297770426,0.16717493939377095,0.19077816831166233,0.0,0.11140453798716078,8.673617379884035e-18,0.030572409515289584,0.0772048150150739,1.0986582014519778e-17
2021-07-30,LCGFX,0.013578128954737834,0.036976,0.02339787104526217,0.42220445469996903,0.15471574329238033,0.19911766513496199,2.9532181107836776e-19,0.11747471537030608,0.0,0.03582114175220287,0.0706662797501798,0.0
2021-08-31,LCGFX,0.024649166722597593,0.027338,0.002688833277402408,0.4659782921301449,0.17532676022235544,0.18684976268703954,3.9632438119178793e-17,0.08455348579226847,0.0020863132173785754,0.009904901459677266,0.07530048449113586,0.0
2021-09-30,LCGFX,-0.04456805681708292,-0.051292,-0.00672394318291708,0.4597596585159057,0.17755578576101988,0.17934810258519643,0.0,0.08209600497653824,0.0010158723401213175,0.012839166340774737,0.0873854094804437,0.0
2021-10-29,LCGFX,0.06247331848811981,0.09065,0.028176681511880186,0.45515865713581455,0.1766586440413486,0.18268825011390089,3.491820437934669e-17,0.08583646266375984,3.4504434876381526e-18,0.010383177748790972,0.08927480829638516,2.096124475865509e-18
2021-11-30,LCGFX,-0.013860938283854476,0.002609,0.016469938283854478,0.4700321635933815,0.18926038890489122,0.17269588982479864,3.7644075987184284e-17,0.08424642773782089,1.2761688311291689e-17,8.673617379884035e-18,0.08376512993910759,9.396418828207704e-18
2021-12-31,LCGFX,0.024087838859960263,0.01617,-0.007917838859960263,0.48061657388917445,0.18717144209203482,0.1690214542349514,0.0,0.08447235237233139,0.0,1.214306433183765e-17,0.07871817741150802,0.0
2022-01-31,LCGFX,-0.07368122330134709,-0.10466,-0.030978776698652913,0.44767440752831783,0.1682923994003473,0.17011639953785593,4.399350168330727e-18,0.09455437215116397,0.0008586504939277172,0.028477012262907497,0.09002675862547983,0.0
2022-02-28,LCGFX,-0.023495409410882944,-0.039676,-0.01618059058911706,0.4517504781693562,0.12240164408925511,0.23138035022427936,0.0,0.10374921764312682,0.0,0.02421151095657627,0.06650679891740628,1.734723475976807e-17
2022-03-31,LCGFX,0.01721926393666599,0.02088,0.0036607360633340094,0.4583566179065166,0.12499212089630257,0.22042302864301416,2.973389874162477e-17,0.0918112952412739,1.3877787807814457e-17,0.02454986048581031,0.07986707682708247,1.619075244245019e-17
2022-04-29,LCGFX,-0.10585317325901009,-0.137511,-0.03165782674098991,0.4643073887713292,0.1267497662930842,0.21979253863706708,1.5445547956258156e-18,0.08869871945699236,0.0,0.0219675471044939,0.0784840397370333,1.5612511283791264e-17
2022-05-31,LCGFX,-0.01945890757562298,-0.014632,0.004826907575622982,0.6042269207771325,0.0551080208736872,0.22178738562602673,1.8063103598686306e-17,0.11887767272315361,0.0,2.748302622944296e-18,0.0,0.0
2022-06-30,LCGFX,-0.07042489501846658,-0.084997,-0.014572104981533426,0.49451502838441824,0.09853712184858711,0.25402427612339834,0.0,0.09748328732998086,0.0,0.0,0.05544028631361547,1.0986582014519778e-17
2022-07-29,LCGFX,0.1068375968405313,0.128707,0.021869403159468684,0.6274980221138308,0.05904957244379826,0.2186418102995218,5.046016745931536e-18,0.09481059514284912,0.0,0.0,0.0,1.850371707708594e-17
2022-08-31,LCGFX,-0.036049642805849755,-0.062469,-0.026419357194150242,0.5289295396912738,0.08487834271758345,0.25655083914655646,3.469446951953614e-18,0.08504731520752185,1.0621824635596686e-17,0.0,0.0445939632370645,0.0
2022-09-30,LCGFX,-0.09313662264431699,-0.102062,-0.008925377355683009,0.5412225473436456,0.08130024777300075,0.2440066918780876,0.0,0.07789719980694595,0.0,6.5944219932306345e-18,0.055573313198320026,2.544261098099317e-17
2022-10-31,LCGFX,0.06091417068134985,0.047703,-0.013211170681349846,0.5543710478239499,0.0813477397915636,0.2292542897402267,2.7755575615628914e-17,0.07746419917108774,0.0,4.1553941384148155e-17,0.057562723473172164,9.25185853854297e-18
2022-11-30,LCGFX,0.0473237955964876,0.068016,0.020692204403512396,0.5419755038348522,0.07821631127241509,0.22576584604044536,0.0,0.08999864200476015,0.0,0.0,0.0640436968475274,0.0
2022-12-30,LCGFX,-0.06201322581624926,-0.069345,-0.007331774183750743,0.5365811387923815,0.07914142517182786,0.2221277080547224,3.469446951953614e-18,0.09195796412974172,6.165584747836814e-18,9.493511326265782e-18,0.07019176385132664,1.3877787807814457e-17
2023-01-31,LCGFX,0.08435135221553353,0.084379,2.764778446646965e-05,0.5541304165816752,0.0736105000509571,0.2224229937206838,6.938893903907228e-18,0.09546061695453092,0.0,4.278964807828855e-18,0.054375472692152954,6.938893903907228e-18
2023-02-28,LCGFX,-0.014555643935256473,-0.036803,-0.02224735606474353,0.7558618817518789,0.001703732868926916,0.17269470346819432,0.0,0.06973968191099984,1.8343382806851074e-19,0.0,6.938893903907228e-18,0.0
2023-03-31,LCGFX,0.03869233799012668,0.069869,0.031176662009873318,0.5703443238630118,0.06689769638490227,0.22286145649707712,0.0,0.08705167997728909,0.0,1.032940112600155e-17,0.0528448432777197,0.0
